"c_host_gene_response_id","c_pathogen_id","c_description","c_host_response_id","c_gene_id","c_curation_flag","c_response_type_vo_id","c_response_type_vo_id2"
1,8,"IFN-gamma is up-regulated in RB51-immunized mice [Ref13:He et al., 2001].",10,1,10,,
3,8,"Mice vaccinated with strain RB51SOD developed a Th1 immune response to the CuZn SOD, indicated by specific induction of serum IgG2a antibodies, but not IgG1 antibodies. IFN-gamma , but not IL -4 is secreted by CuZn SOD-stimulated splenocytes [Ref14:Vemulapalli et al., 2000a]. The enhanced protective immunity conferred by strain RB51SOD my be attributed to the specific cell-mediated responses, especially IFN-gamma secretion [Ref14:Vemulapalli et al., 2000a].",12,1,10,,
6,25,"The i.d. FaeG DNA prime-oral F4 boost immunization induced a mainly systemic IgG response, failing to prevent F4+ E. coli excretion upon challenge [Ref207:Melkebeek et al., 2007]. ",150,99,10,,
7,29,"The levels of IFN-Î³ in supernatants from pAK3-sod and pAK4-sod immunized mice significantly increased compared to the plasmid vector control groups [Ref549:Khera et al., 2005]. ",286,1,10,VO_0000593,
8,29,"Compared to the plasmid pAK3 and pAK4 controls, expression of the SODA antigen increased IL-10 levels in DNA vaccine pAK3-sod and pAK4-sod immunized mice. The extra CpG motifs in the pAK4 plasmid decreases the IL-10 level in pAK4-sod immunized mice compared to pAK3-sod immunized mice [Ref549:Khera et al., 2005].",286,126,10,,
9,8,"pcDNA-SOD induced Cu-Zn SOD specific IFN-Î³ production from CD4+ but not CD8+ T cells from in pcDNA-SOD immunized mice [Ref220:Munoz-Montesino et al., 2004]. ",163,1,10,,
10,8,"pcDNA-SOD did not induce interleukin-4 production in immunized mice [Ref220:Munoz-Montesino et al., 2004].",163,125,10,,
15,8,test,12,1,0,,
16,12,"Mast cells and secreted interleukin-4 (IL-4) effectively control intramacrophage replication of Francisella tularensis Live Vaccine Strain (LVS), and that mice deficient in mast cells or IL-4 receptor (IL-4R(-/-) exhibit greater susceptibility to pulmonary challenge [Ref2100:Rodriguez et al., 2011].",1119,125,10,VO_0000569,
17,29,"The experimental data demonstrated that three time vaccinations with BCG in BALB/c mice induced significant TB Ag-specific IFN-gamma immune responses in splenocytes.  Splenocytes were stimulated with the Ag85B protein 2 weeks after the final immunization  [Ref2101:Wang et al., 2009].",1120,1,10,VO_0000273,
18,8,"Splenic lymphocytes from L7/L12pCDNA3-vaccinated mice produced high levels of IFNy (3100 pg mL(-1)) 3 weeks post-vaccination. [Ref2102:Abtahi et al., 2008]",1121,1,10,VO_0000569,
19,8,"Splenic lymphocytes from L7/L12pCDNA3-vaccinated mice produced low levels of IL-5 (300 pg mL(-1)) 3 weeks post-vaccination. [Ref2102:Abtahi et al., 2008]",1121,1105,10,VO_0000239,
20,8,"L7/L12pCDNA3 immunizations elicited high IgG2a isotype response in mice immunized [Ref2102:Abtahi et al., 2008]",1121,1106,10,VO_0000286,
21,8,"IgG1 titers induced post-immunization with L7/L12pCDNA3 vaccine. [Ref2102:Abtahi et al., 2008]",1121,1107,10,VO_0000286,
22,12,"IFN-gamma and hepatic NK cells that are activated during F. tularensis LVS infections regulate hepatic granuloma formation in livers of infected mice, the spatial containment of infection and the induction of cell death within the liver.  Wild-type C57BL/6J or coisogenic IFN-Î³-deficient mice (four per group) were challenged i.n. with F. tularensis LVS, and their livers were recovered 4 days later.  IFN-gamma deficient mice had significantly higher bacterial burdens in blood and liver, significantly fewer granulomas and TUNEL+ cells compared to the wild type mice [Ref2103:Bokhari et al., 2008]",1119,1,11,VO_0000286,
23,12,"IFN-gamma and hepatic NK cells that are activated during F. tularensis LVS infections regulate hepatic granuloma formation, the spatial containment of infection, the expression of iNOS, and the induction of cell death within the liver. iNOS expression was restricted to the granulomas of wild-type mice but was not seen for IFN-gamma-deficient mice.  Compared to wild-type mice, iNOS-deficient mice had significantly low liver bacterial burdens, frequencies of granulomas, and frequencies of TUNEL+ cells both inside and outside the granulomas [Ref2103:Bokhari et al., 2008].",1119,1108,11,VO_0000286,
24,29,"Polymorphisms of the SLC11A1 genes may be associated with recurrence of BCa after BCG immunotherapy. [Ref2105:Chiong et al., 2011]",1122,1109,10,VO_0000286,
25,29,"Polymorphisms of the GPX1 gene may be associated with recurrence of BCa after BCG immunotherapy. [Ref2105:Chiong et al., 2011]",1122,1110,10,VO_0000286,
26,29,"After stimulation with TLR1 lipopeptide ligands, PBMCs from TLR1-deficient, BCG-vaccinated individuals secreted lower amounts of IL-6 and IL-10 compared to those with responsive TLR1 genotypes [Ref2106:Randhawa et al., 2011].",1123,1111,10,VO_0000239,
27,29,"After stimulation with TLR6 lipopeptide ligands, PBMCs from TLR6-deficient, BCG-vaccinated individuals secreted lower amounts of IL-6 and IL-10 compared to those with responsive TLR6 genotypes [Ref2106:Randhawa et al., 2011].",1123,1110,10,VO_0000239,
28,29,"Increased IFNG production associated with TLR1/6 presence 10 weeks post BCG vaccination [Ref2106:Randhawa et al., 2011].",1123,1114,10,VO_0000569,
29,29,"Increased IL2 production associated with TLR1/6 presence 10 weeks post BCG vaccination [Ref2106:Randhawa et al., 2011].",1123,1116,10,VO_0000569,
30,29,"IL6 expression post vaccination expressed in higher amounts in presence of TLR1/6 [Ref2106:Randhawa et al., 2011].",1123,1118,10,VO_0000569,
31,29,"IL10 expression post vaccination increased in presence of TLR1/6 [Ref2106:Randhawa et al., 2011].",1123,1119,10,VO_0000569,
32,29,"Downregulation of overexpression of LipY by antisense approach considerably restored protection of infected mice as observed with parent BCG vaccine [Ref2107:Singh et al., 2011].",1124,1120,0,VO_0000286,
33,29,"Immunization with BCG[pMV361] (BCG with empty pMV361) vaccine induced significant up regulation of IFN-gamma in mice 45 days after immunization as compared to non-immunized mice.  Cytokines were measured in lymphocytes from the spleen [Ref2107:Singh et al., 2011].",1124,1,10,VO_0000273,
34,29,"Immunization with BCG[pMV361] (BCG with empty pMV361) vaccine induced significant up regulation of IL-2 in mice 45 days after immunization as compared to non-immunized mice.  Cytokines were measured in lymphocytes from the spleen [Ref2107:Singh et al., 2011].",1124,1121,10,VO_0000569,
35,8,"The TLR10 gene was expressed at higher levels in Rev 1 vaccinated and protected rams [Ref2108:Galindo et al., 2009].",1125,1122,0,VO_0000569,
36,8,"The Bak gene was expressed at higher levels in Rev 1 vaccinated and protected rams [Ref2108:Galindo et al., 2009].",1125,1123,0,VO_0000286,
37,8,"The ANXI gene was expressed at higher levels in vaccinated and protected rams [Ref2108:Galindo et al., 2009].",1125,1124,0,VO_0000569,
38,8,"WR201 Brucella candidate vaccine induces higher levels of Ifng secretion [Ref2109:Paranavitana et al., 2005].",1126,1,0,VO_0000569,
39,8,"WR201 Brucella candidate vaccine induces higher levels of IL2 secretion [Ref2109:Paranavitana et al., 2005].",1126,1121,0,VO_0000569,
40,8,"WR201 Brucella candidate vaccine induces higher levels of IL18 secretion [Ref2109:Paranavitana et al., 2005].",1126,1125,0,VO_0000569,
41,8,"WR201 Brucella candidate vaccine induces higher levels of CCL3 secretion [Ref2109:Paranavitana et al., 2005].",1126,1126,0,VO_0000569,
42,8,"WR201 Brucella candidate vaccine induces higher levels of IL12b secretion [Ref2109:Paranavitana et al., 2005].",1126,1127,0,VO_0000286,
43,8,"IL23-p19 [Ref2109:Paranavitana et al., 2005].",1126,1124,0,VO_0000569,
44,8,"[Ref2109:Paranavitana et al., 2005]",1126,1129,0,VO_0000569,
45,8,"WR201 Brucella candidate vaccine induces higher levels of CCL2 secretion [Ref2109:Paranavitana et al., 2005].",1126,1130,0,VO_0000569,
46,8,"WR201 Brucella candidate vaccine induces higher levels of Cxcl10 secretion [Ref2109:Paranavitana et al., 2005].",1126,1131,0,VO_0000569,
47,29,"Lactoferrin can act as an adjunct adjuvant to augment cellular immunity and boost BCG efficacy for protection against subsequent challenge with virulent MTB.  Augmented responses were found for IL-12, TNF-alpha, IL-1beta, and IL-6 [Ref2110:Hwang et al., 2005].",1127,1135,10,VO_0003057,
48,29,"A single administration of BCG in IFA and Lactoferrin resulted in significantly increased production of IL-12 in the splenic recall assay [Ref2110:Hwang et al., 2005].",1127,1127,10,VO_0000100,
49,29,"In concert with the increased stimulation index, there was significant production of all three proinflammatory mediators (TNF-alpha, IL-1beta, and IL-6) in the Lactoferrin immunization group compared to both the non-immunized and IFA immunized groups [Ref2110:Hwang et al., 2005].",1127,1137,10,VO_0000106,
50,29,"In concert with the increased stimulation index, there was significant production of all three proinflammatory mediators (TNF-alpha, IL-1beta, and IL-6) in the Lactoferrin immunization group compared to both the non-immunized and IFA immunized groups [Ref2110:Hwang et al., 2005].",1127,1138,10,VO_0000569,
51,29,"In concert with the increased stimulation index, there was significant production of all three proinflammatory mediators (TNF-alpha, IL-1beta, and IL-6) in the Lactoferrin immunization group compared to both the non-immunized and IFA immunized groups [Ref2110:Hwang et al., 2005].",1127,1139,10,VO_0000569,
52,29,"Lactoferrin was able to significantly augment the production of IFN-Î³ compared to vaccine preparations in IFA alone [Ref2110:Hwang et al., 2005].",1127,1,10,VO_0000273,
53,136,"The Î”actAÎ”plcB mutant is able to induce sufficient IFN-Î³ in mice to prevent a Th1 to Th2 switch and retains its ability to induce a strong CD8+-mediated T cell response, even though the amount of IFN-gamma produced is less than that produced after infection with the wild type strain [Ref1774:Darji et al., 2003].",1040,1,10,VO_0000273,
54,119,"Expression of IFN-gamma was increased. Specifically, a quantitative RT-PCR revealed the gene encoding IFN-Î³ was up-regulated in PBMC stimulated with live Map (a M. avium relA mutant) three months post infection compared to the response of PBMC pre-infection [Ref2026:Park et al., 2011].",1037,1140,10,VO_0000273,
55,119,"Expression of IL-17 was increased. Specifically, a quantitative RT-PCR revealed the gene encoding IL-17 was up-regulated in PBMC stimulated with live Map (a M. avium relA mutant) three months post infection compared to the response of PBMC pre-infection [Ref2026:Park et al., 2011].",1037,1141,10,VO_0000286,
