"c_host_response_id","c_host_id","c_vaccine_id","c_immune_response","c_pathogen_id","c_host_strain","c_vaccination_protocol","c_route","c_persistence","c_protection_efficacy","c_side_effects","c_challenge_protocol","c_description","c_curation_flag","c_deleted","c_immune_response_assay_type","c_immune_response_type","c_immune_response_type2","c_age","c_gender","c_cellType"
12,3,11,"",8,BALB/c mice,RB51SOD was used to vaccinate mice with a dose of ~4 x 10^8 cfu per mouse.,peritoneal injection (p.i.),"The presence of the Cu/Zn SOD plasmid in strain RB51 does not alter its vaccine efficacy. Overexpression of SOD does not alter the attenuation characteristic of strain RB51 [Ref14:Vemulapalli et al., 2000a].","Recombinant strain RB51SOD in mice induces better protection against virulent B. abortus infection compared to B. abortus vaccine strain RB51 [Ref14:Vemulapalli et al., 2000a]. 
",None observed.,"","Mice vaccinated with RB51SOD, but not RB51, develop antibodies and cell-mediated immune responses to Cu/Zn SOD [Ref14:Vemulapalli et al., 2000a]. 
",10,0,,VO_0003068,,,,
10,3,10,"",8,BALB/c mice,~4 x 10^8 CFU,Peritoneal injection (p.i.),"Inoculation (ip) of RB51 into mice results in a splenic colonization which is cleared within four weeks post infection. RB51 does not revert to smooth colony morphology upon passage in vivo (mice) or in vitro [Ref12:Schurig et al., 1991].",The CFU in spleen decreases 1-2 logs.,No obvious symptoms were observed in immunized mice.,"","Vaccination of mice with RB51 induces specific cytotoxic T lymphocytes (CTLs) against strain RB51 and strain 2308-infected J774.A1 macrophages but not against Listeria monocytogenes-infected J774.A1 cells. Antigen-specific cytotoxic activity is exerted by T lymphocytes but not by NK cells. CD3+ CD4+ T cells secrete the highest level of IFN-Î³ and induce low but significant level of lysis of Brucella-infected macrophages. In contrast, CD3+ CD8+ T cells secrete low levels of IFN-Î³ but high levels of specific lysis of Brucella-infected macrophages. No nonspecific lysis was observed. Hence CD3+ CD4+ and CD3+ CD8+ T cells play synergistic roles in anti-Brucella activity [Ref13:He et al., 2001].",10,0,,,,,,
145,3,113,"",8,"","Experiment 1 (Exp. 1):
Groups of eight mice were inoculated (i.p.) with either saline (negative control), B. abortus strain RB51 (2Ã—10^8 CFU/mouse; positive control), recombinant B. abortus strain RB51SOD (2Ã—108 CFU/mouse; positive control), O. anthropi 49237 (5Ã—10^8 CFU/mouse), O. anthropi 49237pBB (5 Ã— 108 CFU/mouse), or O. anthropi 49237SOD (5Ã—10^8 CFU/mouse). At 2, 4, and 6 weeks after inoculation, three mice from each group were bled retroorbitally.  The sera obtained were stored at âˆ’40Â°C until use in an enzyme-linked immunosorbent assay (ELISA) or for Western blot analysis.  

In a second experiment (Exp. 2) whether multiple injections were required for protection was asessed . Groups of five mice were immunized i.p. with either saline, B. abortus strain RB51, or O. anthropi 49237SOD at the doses described above.  After two weeks, mice inoculated with O. anthropi 49237SOD were reimmunized with O. anthropi 49237/SOD (5Ã—10^8 CFU/mouse).  To determine whether different doses influenced the results of protection, four groups of five mice each were inoculated with O. anthropi 49237 at four different doses: 5Ã—10^8, 5Ã—10^7, 5Ã—10^6, and 5Ã—10^5 CFU/mouse. A fifth group (five mice) was inoculated i.p. with saline as negative control.  Synthetic CpG-containing oligodeoxynucleotides (CpG-ODN) were administered to group four as an immunostimulatory adjuvant. One group (eight mice) was inoculated i.p. with O. anthropi strain 49237 (5Ã—10^8 CFU/mouse); one group with strain 49237 (5Ã—10^8 CFU/mouse) and CpG adjuvant, one group with strain 49237SOD alone (5Ã—10^8 CFU/mouse), and one group with strain 49237SOD (5Ã—10^8 CFU/mouse) and CpG adjuvant. The CpG adjuvant (10 nmol) was administered i.p. 4 h before inoculation and again at the time of inoculation of the bacterial strains.  Three groups of mice (eight/group) served as controls and  were inoculated with saline alone, CpG-ODN alone, or E. coli DH5Î± (10^6 CFU/mouse) and CpG-ODN.  The mice were bled at 2, 4, and 6 weeks after inoculation [Ref196:He et al., 2002].","","","","","Six weeks after inoculation, mice (5) from each group were challenged i.p. with 2Ã—10^4 CFU of virulent B. abortus 2308/mouse. The mice were sacrificed after two weeks.  Their spleens were  homogenized, and spleens from the dilutions were plated to determine the numbers of Brucella CFU per spleen. The remaining unchallenged mice (each group) were sacrificed 6 to 8 weeks postinoculation, and spleen cells collected for cell culture in vitro  [Ref196:He et al., 2002].","",10,0,,,,,,
249,3,210,"Coformulation of Ab and poxviral or adenoviral-vectored vaccines induces significantly increased T cell responses to a malaria Ag; prior anti-CD25 Ab administration was not required for this effect. Furthermore , this vaccination approach subverts immunodominant epitope hierarchies by enhancing responses to subdominant epitopes induced by recombinant modified vaccinia virus Ankara immunization. Administration of anti-CD25 with a vaccine also induces more durable immunity compared with vaccine alone; significantly higher T cell responses were observed 100 days after the primary immunization. Enhanced immunogenicity is observed for multiple vaccine types with enhanced CD4+ and CD8+ T cell responses induced by bacillus Calmette-Gurin and a recombinant subunit protein vaccine to hepatitis B virus and with multiple Ags of tumor, viral, bacterial, and parasitic origin. Vaccine strategies incorporating anti-CD25 lead to improved protection against pre-erythrocytic malaria challenge. These data underpin new strategies for the design and development of more efficacious vaccines in clinical settings [Ref479:Moore et al., 2005].",30,"BALB/c, C57/BL6","Female BALB/c or C57/BL6 mice were used in all experiments. They were immunized i.d. with poxvirus, ADV, or BCG/mouse, or with DNA-CSP i.m. All viruses and DNA were resuspended in endotoxin-free PBS for immunization. Engerix was administered s.c. For i.p. administration of anti-CD25 Ab, 0.5 mg was injected. For coadministration of anti-CD25 with vaccine, Ab was mixed with recombinant MVA or FP vaccines so that each animal received Ab and virus by the i.d. route. All animals received anti-CD25, unless otherwise stated. Depletion of CD4+CD25+ cells by anti-CD25 Ab alone was confirmed by FACS analysis. Changes in the level of Tregs, postvaccination, were assessed by intracellular staining cells for Foxp3 protein. Mice were primed with vaccine with or without anti-CD25. Postprime responses were analyzed in the blood, and mice were boosted on day 14. T cell responses in the blood postboost were measured, and spleen responses were routinely measured [Ref479:Moore et al., 2005].",,"Significantly higher T cell responses were observed 100 days after the primary immunization [Ref479:Moore et al., 2005].","Coformulation of Ab and poxviral or adenoviral-vectored vaccines induces significantly increased T cell responses to a malaria Ag; prior anti-CD25 Ab administration was not required for this effect. Administration of anti-CD25 with a vaccine also induces more durable immunity compared with vaccine alone and significantly higher T cell responses. Enhanced immunogenicity is observed for multiple vaccine types with enhanced CD4+ and CD8+ T cell responses induced by BCG and a recombinant subunit protein vaccine to hepatitis B virus and with multiple Ags of tumor, viral, bacterial, and parasitic origin. Vaccine strategies incorporating anti-CD25 lead to improved protection against pre-erythrocytic malaria challenge. These data underpin new strategies for the design and development of more efficacious vaccines in clinical settings [Ref479:Moore et al., 2005].","The anti-CD25 mAbs, daclizumab and basiliximab, have been licensed for clinical use. The side effects of this treatment appear to be minimal, and the success of this treatment in reducing acute rejection episodes following solid organ transplantation has been remarkable [Ref479:Moore et al., 2005].","Mice were challenged by i.v. injection in the tail vein with sporozoites dissected from the salivary glands of infected female Anopheles stephensi mosquitoes. Infection was determined by the presence of ring forms in Giemsa-stained blood smears. Naive or anti-CD25 treated BALB/c mice were then infected by the i.v. route. Parasitemia was monitored daily by microscopic examination of Giemsa-stained blood smears. Levels of parasitemia were calculated as the percentage of parasitized erythrocytes [Ref479:Moore et al., 2005].","An efficacious vaccine strategy must be capable of inducing strong responses of an appropriate phenotype that are long lasting and sufficiently broad to prevent pathogen escape mechanisms. In the present study, anti-CD25 mAb was used to augment vaccine-induced immunity in mice. Coformulation of Ab and poxviral or adenoviral-vectored vaccines induces significantly increased T cell responses to a malaria Ag; prior anti-CD25 Ab administration was not required for this effect . Furthermore , this vaccination approach subverts immunodominant epitope hierarchies by enhancing responses to subdominant epitopes induced by recombinant modified vaccinia virus Ankara immunization . Administration of anti-CD25 with a vaccine also induces more durable immunity compared with vaccine alone ; significantly higher T cell responses were observed 100 days after the primary immunization . Enhanced immunogenicity is observed for multiple vaccine types with enhanced CD4+ and CD8+ T cell responses induced by bacillus Calmette-Gurin and a recombinant subunit protein vaccine to hepatitis B virus and with multiple Ags of tumor , viral , bacterial , and parasitic origin . Vaccine strategies incorporating anti-CD25 lead to improved protection against pre-erythrocytic malaria challenge . These data underpin new strategies for the design and development of more efficacious vaccines in clinical settings [Ref479:Moore et al., 2005].",11,0,,,,,,
247,3,198,"",8,Balb/c mice,"Female BALB/c mice at 4 weeks of age were separated into nine groups of 12 mice. Groups 1, 2, and 3 received PBS, CpG ODN, and non-CpG ODN, respectively, and served as negative controls. Groups 4 and 5 were injected with the purified P39 and bacterioferrin (BFR) alone, respectively. Groups 6 and 7 were injected with the recombinant protein with CpG ODN adjuvant. Finally, groups 8 and 9 received the recombinant antigens with the non-CpG ODN. Vaccines were prepared in PBS and contained combinations of the following: 20 Î¼g of recombinant protein and/or 20 Î¼g of oligonucleotides when needed. Vaccines were given intramuscularly (i.m.) into the left tibial anterior muscles in a total volume of 50 Î¼l three times at 3-week intervals [Ref407:Al-Mariri et al., 2001]. ",,Not reported.,"",None reported.,"Three weeks after the last injection, the remaining mice of each group were challenged by the intraperitoneal route (i.p.) with 5 Ã— 10^4 CFU of B. abortus strain 544 in 100 Î¼l of PBS. An additional group of eight mice vaccinated i.p. with B19 (1x10^5 CFU) was challenged 4 weeks later in the same way and served as a vaccinated control. Spleen colonization with the challenge strain was determined at 4 and 8 weeks postinfection [Ref407:Al-Mariri et al., 2001]. ","",10,0,,,,,,
248,3,204,"Results showed that ABRA (M), ABRA (C) and ABRA (P) were highly immunogenic in these animals; end point titres greater than 10^5 were observed in these constructs. Mice were immunized using standard methods. Relative concentrations of the antibodies elicited by them in mice at different intervals of immunization were measured at a dilution of 1 : 3000. ABRA (N) and ABRA (C) did not show a boostable antibody response; two secondary immunizations did not result in any increase in the antibody titre. Immunogenicity studies with these constructs in rabbits and mice indicated that the N-terminal region is the least immunogenic part of ABRA. T-cell proliferation experiments in mice immunized with these constructs revealed that the T-cell epitopes were localized in the middle portion of the protein [Ref429:Kushwaha et al., 2001].",30,BALB/c,"Groups of BALB/c mice were immunized by i.p. injection with ABRA protein/MBP emulsified in complete Freund's adjuvant (CFA). Control mice received only PBS in the adjuvant. Boosters of the same amount of protein were given in incomplete Freund's adjuvant (IFA). Sera were collected from each group and treated as described earlier [Ref429:Kushwaha et al., 2001].",,"Humoral and cell-mediated response was still robust up to 70 days post-immunization [Ref429:Kushwaha et al., 2001].","The purified immunoglobulin G specific to middle and C-terminal fragments prevented parasite growth at levels approaching 80-90% [Ref429:Kushwaha et al., 2001].","","","This antibody response was the focus of intense interest when it was found that mice could be rendered resistant to sporozoite challenge by passive immunisation with monoclonal antibodies against circumsporozoite protein  [Ref430:Kwiatkowski et al., 1997].",10,0,,,,,,
242,3,196,"In mice, the mixture of P6 and dLOS or P6 alone did not elicit anti-LOS IgG responses. In contrast, both conjugates were able to elicit a significant rise of anti-LOS IgG, whereas dLOSâ€“P6 (II) was a better immunogen for eliciting mouse IgG as compared to dLOSâ€“P6 (I) ( P < 0.01). There was a 648-fold rise of anti-LOS IgG elicited by dLOSâ€“P6 (II) and a 14-fold rise by dLOSâ€“P6 (I) after three injections when compared to their pre-immune sera that contained 1 ELISA unit (p < 0.01). Formulation of the conjugates with Ribi adjuvant enhanced the antibody responses in both conjugates, especially for dLOSâ€“P6 (I). In addition, dLOSâ€“P6 (I) alone elicited better responses of anti-LOS IgM [Ref406:Wu et al., 2005].",31,"","Ten mice per group were given a total of three subcutaneous injections at 2-week intervals with conjugates, conjugates with Ribi adjuvant, P6, or a mixture of P6 and dLOS. Blood samples were collected 14 days after the first injection and 7 days after the second and third injections [Ref406:Wu et al., 2005].",,"","","","","",10,0,,,,,,
13,3,14,"",7,Swiss Webster,"Groups of three 6- to 8-week-old Swiss Webster mice were immunized i.m. in the gastrocnemius with 50 Î¼g, 5 Î¼g, 500 ng, 50 ng, or 5 ng of inactivated SPBN-D4-E51 or with 100 ng RV G + 100 ng rPA (List Biological Laboratories, Inc.). Mice were boosted 3 weeks later and bled 2 weeks after each inoculation. In a second experiment, mice were immunized as above with the same doses of inactivated SPBN-D4-E51 or with 500 ng RV G + 500 ng rPA [Ref17:Smith et al., 2006].",i.m.,"Potent and long-lasting neutralizing antibodies to the RV glycoprotein are generated by immunization with killed particles [Ref17:Smith et al., 2006].","[Ref17:Smith et al., 2006]","None were noted [Ref17:Smith et al., 2006].",,"",10,0,,,,,,
14,2,15,"A total of 671 sera were analyzed for IgG to PA.  All subjects seroconverted after receiving AVA, as defined by a fourfold or greater increase over baseline in dilutional IgG to PA titer.  The mean time after receipt of the initial AVA injection to seroconversion was 27.7 days (range = 14â€“63 days).  The mean number of days after the first vaccine dose needed to reach a serum concentration of IgG to PA of 3 Î¼g/mL was 24.2 days  [Ref36:Pittman et al., 2006].",7,Most of the study subjects were male (70.9%) and Caucasian (83.7%; 11.6% were Africanâ€“American). The median age of study subjects was 33 years (range 19â€“61).,"The vaccinations followed a minimal-risk protocol reviewed and administratively approved by the institutional review board at USAMRIID and the Human Subjects Research Review Board at the U.S. Army Surgeon General's office. Overall, AVA was given in a 6-dose series (subcutaneous injections at 0, 2, and 4 weeks and 6, 12, and 18 months with subsequent yearly boosters). Specifically, Vaccinations occurred within defined time intervals after receipt of the initial AVA injection (day 0 [dose #1], day 14 [range 11â€“21], day 28 [range 25â€“35], day 182 [range 154â€“216], day 364 [range 336â€“413], day 546 [range 518â€“609]) [Ref36: Pittman et al., 2006].",Subcutaneous injection.,"","A serum concentration of IgG to PA â‰¥ 3 Î¼g/mL was observed in all subjects after vaccination. This level of antibody was reached by 39.5% of subjects after the first injection, by a total of 96.5% after the second injection, and by 100% after the third injection.  The analysis confirms that AVA is an effective immunogen, and significant increases in antibody concentration occurred after each injection, with peak responses achieved after the fourth (6-month) dose.  No cases of anthrax disease have been observed among individuals receiving the 6-month dose of AVA [Ref36:Pittman et al., 2006].  ","No side effects were noted in this study [Ref36:Pittman et al., 2006]. In another independent report, AVA was linked to the development of adverse side effects including joint pain, gastrointestinal disorders, and pneumonia, leading many U.S. soldiers to refuse vaccination [Ref43:Xie et al., 2005].","","The antibody profile during and after the six-dose primary vaccination series with anthrax vaccine adsorbed (AVA) was characterized in 86 human volunteers.  The present study describes the kinetics of IgG antibodies to Bacillus anthracis protective antigen (PA) in AVA vaccinees receiving the entire six-dose primary series using sera obtained as part of the occupational health program and stored in the USAMRIID archive [Ref36:Pittman et al., 2006].
",10,0,,,,,,
532,2,753,Serum HI antibody responses 21 days after vaccination with AGRIFLU met the pre-specified co-primary endpoint criteria for all three viral strains included in the vaccine.,50,"",Study done in the Dominican Republic of 1507 adults ages 18-49. Subjects were randomly assigned at a 2:2:2:1 ratio to receive either one of three consecutive AGRIFLU lots or the US-licensed influenza vaccine used for comparison [Ref930:FDA: Agriflu].,,"","","","","",0,0,,,,,,
