"c_pathogen_id","c_pathogen_name","c_taxon_id","c_disease_name","c_host_range","c_organism_type","c_preparation_vo_id","c_vaccine_vo_id","c_protein_vo_id","c_pathogenesis","c_protective_immunity","c_gram"
7,Bacillus anthracis,1392,Anthrax,"Host ranges include the following:  livestock or other herbivores (eg, cattle, sheep, goats, pigs, bison, water buffalo) acquire infection by consuming contaminated soil or feed; spores are infectious agents that can enter the human body through skin lesions, ingestion, or inhalation; and laboratory animal models include Guinea pigs, Syrian hamsters, and various mouse models [Ref115:PathPort].",G+ bacterium,VO_0012191,,VO_0010757,"In general, spores are phagocytosed by macrophages and germinate within phagolysosomes. Vegetative bacteria release many toxins leading to macrophage death. Lethal toxin acts on host macrophages and induces the release of proinflammatory cytokines responsible for inducing sudden and fatal shock [Ref15:Hanna et al., 1999]. Edema toxin causes localized edema and systemic shock [Ref16:Hirsh et al, 2004]. Other virulence factors allow for survival within phagolysosomes and on mucosal surfaces (Inh and MprF), escape from phagolysosomes and phagocytic cells (anthrolysins), iron acquiring products (Dlp), and regulation of cellular products (AtxA and AcpA) [Ref16:Hirsh et al, 2004].","Since protection against anthrax is induced by vaccines containing PA as the major immunogen, with minor amounts of EF and LF, antibodies against PA and other toxin components are essential in the protection against anthrax. Serum therapy has been used in the past for the treatment of human anthrax with some success. PA is a key immunogen for antianthrax vaccine development since it induces the production of toxin-neutralizing Abs. However, vital, anti-PA Abs are not the only, or completely sufficient, means for an immune host to impede the development of anthrax [Ref181:Glomski et al., 2007]. Immune serum containing antibodies to PA can be effective in the therapy of established experimental infection in guinea pigs. However, The identification of anti-toxic immunity as the most important means for protection against B. anthracis has been complicated by lack of an entirely well-accepted animal model for evaluating immunity to LeTx and to spores of different anthrax isolates, due to varying susceptibility of animal models to spores of different origin  [Ref19:Brey, 2005]. 

Anti-capsule antibodies may also be important in controlling the outgrowth phase of anthrax infection, since they would be presumed to fix complement and kill vegetative cells. However, antibodies to the poly Î³-d-glutamate capsule have not been well studied, because the capsule is poorly immunogenic and is a T cell-independent antigen. Recently, a series of murine monoclonal antibodies to the capsule has been obtained by immunizing mice with an anthrax capsule isoform isolated from B. licheniformis. The capsule is a major virulence factor in mice. Although there is a definitive role for anti-toxin antibodies in protection against anthrax, it is not yet clear what levels of antibodies will be required to protect humans against anthrax after vaccination or passive injection of protective antibodies. This consideration is important since challenge studies cannot be performed in humans, and correlates of immunity have to be extrapolated from animal studies [Ref19:Brey, 2005]. 

Humoral immunity does not protect from nontoxinogenic capsulated bacteria; however, a cellular immune response by IFN-{gamma}-producing CD4 T lymphocytes protect mice. These results provide evidence of protective cellular immunity against capsulated B. anthracis and suggest that future antianthrax vaccines should strive to augment cellular adaptive immunity [Ref181:Glomski et al., 2007].",+
8,Brucella spp.,234,Brucellosis,"Brucella has a broad host range infecting vertebrate animal species and humans. Brucella infections are most often identified in humans, cattle, swine, goats, sheep, deer, caribou, elk, dogs and coyotes. There are six Brucella species based on the preferential host specificity: B. melitensis (goats), B. abortus (cattle), B. suis (swine), B. canis (dogs), B. ovis (sheep) and B. neotomae (desert mice). The first four species are pathogenic and exhibit a decreasing order of severity in humans.  Therefore, brucellosis is a zoonotic disease [Ref410:Corbel, 1997]. Mouse models are often used in Brucella vaccine research. BALB/c and C57BL/10 mice differ in their abilities to induce immune responses and protection against virulent Brucella infections [Ref413:Fernandes et al., 1996] [Ref415:Li, 1991] [Ref414:Montaraz et al., 1986].",G- bacterium,VO_0012194,,VO_0010758,"The mechanism of Brucella pathogenesis and infection of natural animal hosts is not completely understood [Ref410:Corbel, 1997]. It is well accepted that its pathogenesis relies on its ability to live and replicate inside the vacuolar phagocytic compartment of macrophages [Ref412:Kohler et al., 2002]. The host macrophage-Brucella interaction is critical for establishment of chronic Brucella infections. The Type IV secretion system encoded by the virB operon and the two-component regulatory system encoded by the bvrRS operon are required for successful replication of Brucella in macrophages. Smooth Brucella strains with intact lipopolysaccharide (LPS) O-side chains are virulent and invade macrophages through lipid rafts. On entry into the macrophage, Brucella reside in an acidified compartment that fuses with components of the early endosomal pathway. The majority of Brucella die at the early infection stage. A subpopulation of virulent Brucella strains is trafficked to an intracellular compartment known as the replicative phagosome (brucellosome) through continual interactions between the Brucella-containing vacuoles and the endoplasmic reticulum of the host macrophages. Once inside the replicative phagosome, Brucella are resistant to further attack and rapidly propagate. Virulent Brucella also inhibit macrophage apoptosis that in turn favors pathogen survival and replication. Brucella also infects placental trophoblast cells where acute infection leads to abortion and disease transmission [Ref411:Roop et al., 2004].","Both humoral and cell-mediated immune responses can influence the course of a Brucella infection, cell-mediated immune responses are essential for clearance of intracellular Brucella [Ref11:Schurig et al., 2002].  ",-
138,Staphylococcus aureus,1280,Staph infections,"S. aureus can survive on domesticated animals such as dogs, cats, and horses, and can cause bumblefoot in chickens. It is also a common commensal of human skin [Ref1522:Wiki: S. aureus]. Mice are used as an animal model of infection [Ref1504:Senna et al., 2003].",G+ bacterium,,,VO_0012355,"The initial critical event in most staphylococcal infections is the ability of bacteria to adhere to components within host tissues [Ref1502:Nilsson et al., 1998].","In general, protection against S. aureus infection is attributed to intact epithelial and mucosal barriers and normal cellular and humoral responses [Ref1502:Nilsson et al., 1998].",
139,Streptococcus agalactiae,1311,Group B streptococcus (GBS) infection,"S. agalactiae colonizes in the body of some animals, including cow, sheep, and humans without causing any harm. The habitat of this microorganism is largely confined to the intestine and vagina in human and the mammary gland of cows and sheep. This microorganism also colonizes in the genital and/or intestinal tract of about 10-30% of pregnant women. However, some can actually cause diseases in their neonates or immunocompromised mammals. Monkeys and mice can be used as a model of disease [Ref1540:MicrobeWiki: S. agalactiae].",G+ bacterium,,,VO_0012356,"Experimental study of early-onset infection suggests that this bacteria to invade fetal epithelial and endothelial cells and certain macrophages and the mortality rates for early-onset is 4-6%. This invasion is confirmed to play important role in its pathogenesis through the ability of S. agalactiae in the monkey model. Ability to invade and transcytose, this bacteria can enter into the respiratory tract causing pneumonia or further into the blood causing septicemia. Bloodstream enables this bacteria to reach different sites of body causing meningitis and osteomyelitis [Ref1540:MicrobeWiki: S. agalactiae].","Passive immunization with antibodies has been shown to be protective in mice [Ref1506:Erdogan et al., 2002].",
140,Streptococcus pyogenes,1314,"Group A streptococcal infections, Strep throat, Scarlet fever","S. pyogenes is a human pathogen and mice are the animal model that is used [Ref1511:Okamoto et al., 2005].",G+ bacterium,,,VO_0012357,Colonization of tissues by S. pyogenes is thought to result from a failure in the constitutive defenses (normal flora and other nonspecific defense mechanisms) which allows establishment of the bacterium at a portal of entry (often the upper respiratory tract or the skin) where the organism multiplies and causes an inflammatory purulent lesion [Ref1526:Textbook of Bacteriology].,Macrophages and the antibody mediated response are the major defenses for host protective immunity against S. pyogenes infection [Ref1526:Textbook of Bacteriology].,
141,Treponema pallidum,160,Syphilis,"T. pallidum is an obligate internal parasite, meaning that it requires a mammalian host for survival. In the absence of mammalian cells, T. pallidum will be killed by the absence of nutrients, exposure to oxygen and heat. T. pallidum causes the human disease syphilis. Since T. pallidum cannot be grown in culture, animal models are needed to study syphilis. Although mice and monkeys can be used, rabbits are the animal model almost exclusively studied in the lab. Rabbits are used because unlike monkeys they are inexpensive and unlike mice, rabbits develop the signs and symptoms of human primary and secondary syphilis [Ref1525:MicrobeWiki: T. pallidum].",G- bacterium,,,VO_0012358,"T. pallidum (in the case of syphilis) generally first forms a chancre at the site of infection and the spirochetes are infectious. The bacteria then penetrate mucosal membranes, and invade the bloodstream as well as other tissues. The bacteria cause latent syphilis which can progress into tertiary syphilis by the bacteria causing inflammatory disease and thus creating problems in infected [Ref1528:Salyers and Whitt., 2002].","The primary clearance mechanism responsible for removal of T. pallidum from syphilitic chancres is believed to be antibodyâ€mediated treponemal opsonization and subsequent phagocytosis and killing by macrophages [Ref1513:Cameron et al., 1998].",
11,Yersinia pestis,632,Plague,"Plague is primarily a zoonotic infection, occurring in urban or wild rodent populations.  Rodents that could be characterized as enzootic hosts (i.e., in what rodent populations Yersinia pestis is found naturally) have not been conclusively identified, but certain species of rat, vole, mouse, and gerbil are suspected [Ref49: Perry et al., 1997].",G- bacterium,VO_0012196,,VO_0010759,"The core of the Yersinia pestis pathogenicity machinery is the Yop virulon, encoded on the 70-kb plasmid of pathogenic Yersinia species.  The Yop virulon consists of three basic components: the Ysc injectisome (an organelle which spans the bacterial membrane), the Yop effectors, and the Yop translocators that are involved in delivering the effectors across the eukaryotic plasma membrane.  Once injected, Yop proteins perturb the dynamics of the cytoskeleton (disrupting phagocytosis) and block the production of proinflammatory cytokines, thus favoring the survival of Yersinia pestis while inducing apoptosis in the macrophage.  The Yop virulon is an archetype of the type III secretion system now identified in more than a dozen major animal or plant pathogens [Ref47: Cornelis, 2002]. ","To clear Yersinia infection, the host must develop a strong adaptive immune response, and IFN-Î³-producing CD4 and CD8 T cells are essential in this process [Ref178:Heesemann et al., 2006].  The anti-YresiniaV antigen antibody-mediated neutralization of Yersinia-induced macrophage cytotoxicity correlates with in vivo protection [Ref179:Bashaw et al., 2007]. Humoral antibody response also plays a major role in mediating protection as demonstrated by passive transfer of anti-deF1 DNA antiserum [Ref180:Grosfeld et al., 2003].
",-
142,Avian Reovirus,38170,"Viral Arthritis, Pale Bird Syndrome, Tenosynovitis",,virus,,,,,,
143,Bovine Respiratory Syncytial Virus,11246,Respiratory Disease,Cattle,virus,,,,,,
144,Bovine Parainfluenza 3 Virus (BPIV-3),11215,,,virus,,,,,,
