"c_vaxvec_id","c_vaxvec_name","c_alternative_names","c_advantage","c_disadvantage","c_safety","c_stability","c_host","c_vaxvec_vo_id","c_description","c_submitted_by","c_submission_date","c_curation_flag","c_preparation","c_storage","c_function"
47,Attenuated Listeria monocytogenes vaccine vector,Lm,,,,,,VO_0000068,,shzhdeng@gmail.com,"2014-06-16 22:18:30",10,,,
46,Vibrio cholerae vaccine vector,,,,,,,VO_0001044,,shzhdeng@gmail.com,"2014-06-16 17:40:22",10,,,
11,Vesicular stomatitis virus vaccine vector,VSV vaccine vector,"The advantages include: (1) Simple structure and rapid high-titer growth of VSV in mammalian and many other cell types; (2) Relatively easy to manipulate [Ref2810:Garbutt et al., 2004].",Genome size restrictions of the successful VSVÎ”G allow the vectors to accommodate only a single filovirus GP gene.,,,"2",VO_0001025,"VSV is a virus from the Rhabdoviridae family and the Vesiculovirus genus [Ref2810:Garbutt et al., 2004]. Regarding administration, in general, classic virological approaches are easily applicable.",rasikap@umich.edu,"2014-02-10 08:21:08",10,,,""
12,BCG vaccine vector,Bacillus Calmette-Guerin vaccine vector; rBCG vaccine vector,"Relatively inexpensive to produce; easy to administer; induces strong cellular immune responses [Ref2812:Kanekiyo et al., 2005]. Recombinant BCG is able to produce and secrete antigens. It may also be used against allergic diseases [Ref2814:Kumar et al., 1999].","Induction of persistent tuberculin positivity in vaccinated individuals; necrotic reactions in those individuals with the Koch phenomenon [Ref2814:Kumar et al., 1999].","Live, attenuated. As a human tuberculosis vaccine, its safety has been proven.",,,VO_0001023,,carlymar@umich.edu,"2014-02-11 22:37:17",10,,"Stored by freeze-drying, but stabilization methods need improvement. [Ref2813:Gheorghiu et al., 1996]","BCG is commonly used as a human vaccine against tuberculosis. It is also often used as a bacterial vaccine vector against many diseases, such as malaria and HIV [Ref2812:Kanekiyo et al., 2005]."
13,Brucella abortus RB51 vaccine vector,,"RB51 is able to induce strong CD4+ and CD8+ T-cell mediated immune responses [Ref2827:He et al., 2001].","Other so many DNA plasmids are able to survive inside the RB51 bacteria. Also, known DNA plasmids able to survive and replicate inside RB51 tend not to have high copy number.","While RB51 is licensed for cattle use, it cannot be used for human due to its capability of potentially causing human infection. So the safety concern is a main disadvantage for its use. However, since it is a licensed cattle vaccine, it is very suitable to express protective antigens in other pathogens as a bacterial vaccine vector. Such a vaccine would protect the cattle against brucellosis and the other pathogen infection.",The stability of RB51 as a vaccine vector is high.,"12",VO_0000020,"RB51 is a live attenuated cattle brucellosis vaccine strain that has been licensed for cattle use in the USA and many other countries. This B. abortus strain has been experimentally verified to be a bacterial vaccine vector [Ref2815:Vemulapalli et al., 2007].",carlymar@umich.edu,"2014-03-12 15:43:53",10,"RB51 was derived by repeated passage of virulent B. abortus strain 2308 on Trypticase soy supplemented with 1.5% agar and varying concentrations rifampin or penicillin [Ref2828:Schurig et al., 1991].",Usually at 2-8 degree.,"RB51 is able to stimulate strong cell-mediated immunity [Ref2827:He et al., 2001]."
14,canarypox viral vector,CaPV,"In human clinical trials, attenuated canarypox strain was considered to be a highly advanced recombinant poxviral vaccine vector [Ref2821:Di et al., 2013]. The canarypox vaccine vector has been successfully employed against cancer in humans and emergent infectious diseases. Canarypox virus is one of the most advanced recombinant poxviral vaccine vectors in human clinical trials.",,The canarypox vaccine vector is pathogenic in some avian species but incapable of effectively infecting humans. This property of its virulence is due to its inability to complete its life cycle and create an particle that is infectious.,,,VO_0001043,"Attenuated canarypox strain is part of the poxviridae family.  It is classified under the avipoxvirus genera and is one of the highly attenuated vaccinia virus (VACV) strains. It's genome size is approximately 330 kbp and it has about 320 genes. [Ref2821:Di et al., 2013]",rasikap@umich.edu,"2014-03-10 11:55:32",10,,,"This vector has been applied with success to vaccinate against emergent infectious disease and cancer in humans. [Ref2821:Di et al., 2013]"
15,nonreplicating adenovirus vector,Ad,"Nonreplicating Ad vectors can replicate to high concentrations and allow for the expression of large amounts of transgenes and low levels of Ad proteins.  They have also exhibited a certain level of safety and are capable of creating strong and long-lasting cellular immunity, along with humoral responses. After comparing nonreplicating Ad and VV vectors and DNA vaccinations of monkeys with human immunodeficiency virus or simian immunodeficiency virus Gag proteins, more vigorous immunity was indicated with Ad vectors.  Data suggests that nonreplicating Ad vectors  are very effective vaccines for hantaviruses, protecting against lethal hantavirus infection. [Ref2834:Safronetz et al., 2009].","One issue associated with administration of nonreplicating adenovirus vectors involves preexisting immunity to Ad5, a human Ad serotype, along with other common Ad serotypes.  It is speculated that this can be resolved by using rare human Ad serotypes or simian or other animal Ad vectors.  Furthermore, evidence is beginning to indicate that other routes of immunization such as nasal delivery may be capable of providing partial or full resistance to neutralizing antibodies.  Neutralizing antibodies are the main issue with preexisting immunity to Ad5 vaccines.  Distribution of Ad vectors that express ANDV proteins using nasal or oral administration can be beneficial because HPS-causing hantaviruses replicate in the lung.  Another problem arises when considering the high-levels of expression of transgene proteins which is associated with toxicity.  This toxicity results in low concentration stocks of Ad vectors and selection for mutants that do not express the foreign proteins. [Ref2834:Safronetz et al., 2009]",,,,VO_0001129,,rasikap@umich.edu,"2014-03-10 15:29:25",10,,,"Research shows that Nonreplicating Adenovirus vectors produced immune responses that were able to prevent disease, and with some hamsters, little or no ANDV replication was detected. These nonreplicating Ad vectors have substantial benefits over inactivated vaccines because they produce robust cellular immunity and over DNA vaccines that, to date, have not protected hamsters from ANDV.; Ad vectors utilizing conditional promoters have been developed so that vectors can be propagated in 293 cells [Ref2834:Safronetz et al., 2009]."
16,Listeria monocytogenes LM1-2 vaccine vector,,"This strain is able to elicit strong innate and adaptive immune responses against pathogenic challenges, making it a good candidate to be a cancer vaccine vector.  It was also shown to provide long-lasting immunity after a second challenge [Ref2830:Jia et al., 2012].",,"The LM1-2 strain is highly attenuated, with the loss of the actA/plcB virulence factors, therefore making it a safe yet effective option for clinical use in cancer vaccines [Ref2830:Jia et al., 2012].",,,VO_0001041,"The LM-1-2 strain of L. monocytogenes is able to express a human papillomavirus (a cause of cervical cancer) antigen, called E7.  The L. monocytogenes therefore functions as a vehicle to transport the antigen in the host body, eliciting an immune response [Ref2830:Jia et al., 2012].",carlymar@umich.edu,"2014-03-17 22:12:35",10,,,"The LM-1-2 strain of L. monocytogenes is able to express a human papillomavirus (a cause of cervical cancer) antigen, called E7.  The L. monocytogenes therefore functions as a vehicle to transport the antigen in the host body, eliciting an immune response [Ref2830:Jia et al., 2012]."
17,Salmonella enterica SL3261 vaccine vector,Salmonella enterica serovar Typhimurium SL3261,"S. enterica can effectively colonize antigen-presenting cells, like dendritic cells and macrophages [Ref2832:HernÃƒÂ¡ndez-Luna et al., 2013].  Live, attenuated S. enterica strains are particularly useful because they elicit mucosal immunity, which can be used to control pathogenic outbreaks such as Trichinella spiralis infection in the intestines [Ref2833:Pompa-Mera et al., 2011].",,,,,VO_0001031,"The S. enterica strain SL3261 can be engineered to display the Ag30 antigen derived from the 43 kDa glycoprotein of T. spiralis muscle larvae, and protective immune responses were shown [Ref2833:Pompa-Mera et al., 2011].",carlymar@umich.edu,"2014-03-17 23:06:01",10,,,
18,Poxviral Vector Virus,,"Poxviruses are double-stranded DNA viruses. The poxvirus genome is very large and allows the insertion of more than 10 kb of foreign DNA without reducing viral infectivity and other essential functions. Unlike other DNA viruses, poxviruses possess their own transcriptional machinery, enabling sufficient cytoplasmic self-replication. This feature is advantageous since it prevents potential gene mutation during the integration of viral genome into the host genomic DNA [Ref3335:Kim and Gulley, 2012]. Furthermore, when comparing avipox viruses with mammalian poxviruses, mammalian poxviruses generate a more vigorous immune response [Ref2835:Wennier et al., 2013].",,"Adverse local and systemic reactions often occurred when using poxviral vector viruses.  However, this vector's extranuclear replication abolishes risk of insertional mutagenesis [Ref2835:Wennier et al., 2013].","This vector possesses stable recombinants [Ref2835:Wennier et al., 2013].",,VO_0000447,"Poxviral vectors are members of the Poxviridae family.  They regulate their gene expression at the transcription level using a successive mechanism involving early, intermediate, and late gene classes.  The intermediate and late gene classes are expressed subsequent to replication of the genome.  Poxviruses strongly induce both branches of immune response and have efficiently portrayed foreign antigens against a variety of diseases [Ref2835:Wennier et al., 2013]. The three most commonly used poxvirus vector vaccines include the attenuated modified vaccinia virus Ankara (MVA), ALVAC, and NYVAC. Different fowlpox virus vaccine vectors have also been well studied.",rasikap@umich.edu,"2014-03-18 12:21:30",10,,,"Poxvirus recombinants have been used when creating possible vaccines for AIDS, malaria, and cancer [Ref2835:Wennier et al., 2013]."
